mag_x,mag_y,mag_z,acc_x,acc_y,acc_z
-248,1497,921,240,243,-15113
-100,1338,900,1701,-678,-15950
-6,1191,894,459,-119,-14731
-6,1191,894,1143,-17,-14249
16,961,880,578,58,-14988
52,708,945,905,905,-14347
52,708,945,699,371,-15357
70,468,935,108,335,-14804
41,267,917,996,-1255,-14776
41,267,917,946,-873,-13845
-8,134,954,310,23,-14222
-68,-73,903,272,670,-14881
-68,-73,903,926,207,-15879
-162,-321,964,174,222,-15250
-317,-514,928,1262,-550,-14034
-317,-514,928,1097,128,-13944
-467,-675,944,528,557,-13679
-591,-845,921,177,1055,-14816
-591,-845,921,845,-60,-17102
-760,-1007,859,203,981,-15036
-1003,-1136,857,739,411,-14248
-1003,-1136,857,1286,1161,-12587
-1273,-1208,821,767,1376,-14213
-1432,-1221,831,520,1895,-14959
-1432,-1221,831,1153,260,-15707
-1639,-1170,837,633,-289,-15659
-1890,-1117,821,1102,-283,-14056
-1890,-1117,821,699,1346,-13948
-2118,-1092,769,373,1621,-13718
-2300,-957,770,1296,613,-14510
-2300,-957,770,553,699,-16189
-2415,-814,776,-121,1411,-14431
-2569,-661,758,-169,-39,-15741
-2569,-661,758,136,887,-13990
-2726,-509,720,311,1396,-13340
-2805,-272,734,860,-373,-15624
-2805,-272,734,789,697,-16799
-2883,-61,724,1276,1022,-12983
-2938,161,711,921,1227,-14539
-2938,161,711,734,656,-14738
-2909,438,737,879,-715,-15708
-2869,710,753,659,503,-14370
-2869,710,753,984,38,-14101
-2830,921,670,823,600,-13515
-2722,1101,760,150,1310,-15138
-2722,1101,760,646,620,-15420
-2576,1315,803,654,-33,-15802
-2457,1495,782,1026,-131,-15337
-2457,1495,782,741,1307,-13025
-2365,1629,777,-389,678,-14457
-2170,1777,791,473,285,-15896
-2170,1777,791,707,362,-12575
-1999,1921,752,1633,-150,-16460
-1852,2013,749,1299,-470,-13905
-1852,2013,513,532,369,-14534
-1735,2054,769,510,1231,-14355
-1524,2085,777,821,71,-15503
-1524,2112,796,1122,-337,-16014
-1326,2112,796,404,1445,-13143
-1161,2065,834,624,-413,-16011
-1249,1999,859,979,1056,-13308
-993,1999,859,268,1022,-14841
-801,1941,878,1338,732,-14849
-615,1873,880,1703,-45,-14893
-615,1873,880,843,-358,-15615
-458,1759,891,1157,35,-13649
-304,1610,884,1039,259,-13504
-304,1610,884,779,159,-14283
-139,1455,883,521,55,-16435
-58,1267,918,954,-164,-16679
-58,1267,918,853,527,-13011
-15,1076,927,70,739,-14269
53,888,933,-300,824,-14949
53,888,933,546,527,-14440
